participantId;task;visualization;trialId;type
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Luftdruck_Value_Minima;IsoGlyph;Luftdruck_Value_Minima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Luftdruck_Value_Maxima;ScaledGlyph;Luftdruck_Value_Maxima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Niederschlag_Uncertainty_Minima;VSUP;Niederschlag_Uncertainty_Minima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Niederschlag_Uncertainty_Maxima;IsoGlyph;Niederschlag_Uncertainty_Maxima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Luftdruck_Value_Minima;ScaledGlyph;Luftdruck_Value_Minima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Luftdruck_Value_Maxima;VSUP;Luftdruck_Value_Maxima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Niederschlag_Uncertainty_Minima;IsoGlyph;Niederschlag_Uncertainty_Minima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Niederschlag_Uncertainty_Maxima;ScaledGlyph;Niederschlag_Uncertainty_Maxima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Luftdruck_Value_Minima;VSUP;Luftdruck_Value_Minima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Luftdruck_Value_Maxima;IsoGlyph;Luftdruck_Value_Maxima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Niederschlag_Uncertainty_Minima;ScaledGlyph;Niederschlag_Uncertainty_Minima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0a118baa-2055-44b8-b7d2-3768aa75c6c2;Niederschlag_Uncertainty_Maxima;VSUP;Niederschlag_Uncertainty_Maxima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Niederschlag_Uncertainty_Maxima;IsoGlyph;Niederschlag_Uncertainty_Maxima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Niederschlag_Uncertainty_Minima;VSUP;Niederschlag_Uncertainty_Minima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Luftdruck_Value_Maxima;ScaledGlyph;Luftdruck_Value_Maxima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Luftdruck_Value_Minima;IsoGlyph;Luftdruck_Value_Minima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Niederschlag_Uncertainty_Maxima;VSUP;Niederschlag_Uncertainty_Maxima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Niederschlag_Uncertainty_Minima;ScaledGlyph;Niederschlag_Uncertainty_Minima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Luftdruck_Value_Maxima;IsoGlyph;Luftdruck_Value_Maxima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Luftdruck_Value_Minima;VSUP;Luftdruck_Value_Minima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Niederschlag_Uncertainty_Maxima;ScaledGlyph;Niederschlag_Uncertainty_Maxima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Niederschlag_Uncertainty_Minima;IsoGlyph;Niederschlag_Uncertainty_Minima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Luftdruck_Value_Maxima;VSUP;Luftdruck_Value_Maxima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
0efb5de4-df17-4e00-b641-1277e2e62db2;Luftdruck_Value_Minima;ScaledGlyph;Luftdruck_Value_Minima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Niederschlag_Uncertainty_Maxima;ScaledGlyph;Niederschlag_Uncertainty_Maxima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Niederschlag_Uncertainty_Minima;IsoGlyph;Niederschlag_Uncertainty_Minima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Luftdruck_Value_Maxima;VSUP;Luftdruck_Value_Maxima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Luftdruck_Value_Minima;ScaledGlyph;Luftdruck_Value_Minima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Niederschlag_Uncertainty_Maxima;IsoGlyph;Niederschlag_Uncertainty_Maxima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Niederschlag_Uncertainty_Minima;VSUP;Niederschlag_Uncertainty_Minima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Luftdruck_Value_Maxima;ScaledGlyph;Luftdruck_Value_Maxima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Luftdruck_Value_Minima;IsoGlyph;Luftdruck_Value_Minima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Niederschlag_Uncertainty_Maxima;VSUP;Niederschlag_Uncertainty_Maxima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Niederschlag_Uncertainty_Minima;ScaledGlyph;Niederschlag_Uncertainty_Minima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Luftdruck_Value_Maxima;IsoGlyph;Luftdruck_Value_Maxima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
27a2e590-a9e7-4a96-bf62-b9648a940757;Luftdruck_Value_Minima;VSUP;Luftdruck_Value_Minima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
74897d82-8174-4892-849a-6fac4c6c0027;Niederschlag_Uncertainty_Minima;ScaledGlyph;Niederschlag_Uncertainty_Minima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
74897d82-8174-4892-849a-6fac4c6c0027;Luftdruck_Value_Minima;VSUP;Luftdruck_Value_Minima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
74897d82-8174-4892-849a-6fac4c6c0027;Niederschlag_Uncertainty_Maxima;VSUP;Niederschlag_Uncertainty_Maxima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
74897d82-8174-4892-849a-6fac4c6c0027;Luftdruck_Value_Maxima;IsoGlyph;Luftdruck_Value_Maxima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
74897d82-8174-4892-849a-6fac4c6c0027;Niederschlag_Uncertainty_Minima;IsoGlyph;Niederschlag_Uncertainty_Minima_IsoGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
74897d82-8174-4892-849a-6fac4c6c0027;Luftdruck_Value_Minima;ScaledGlyph;Luftdruck_Value_Minima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
74897d82-8174-4892-849a-6fac4c6c0027;Niederschlag_Uncertainty_Maxima;ScaledGlyph;Niederschlag_Uncertainty_Maxima_ScaledGlyph;Extrema-Klick nicht beantwortet (-999/NaN)
74897d82-8174-4892-849a-6fac4c6c0027;Luftdruck_Value_Maxima;VSUP;Luftdruck_Value_Maxima_VSUP;Extrema-Klick nicht beantwortet (-999/NaN)
